JANコード,商品名,金額
4904810910381,BX-01 スターター ドランソード3-60F,1980
4904810910398,BX-02 スターター ヘルズサイズ4-60T,1980
4904810910473,BX-03 スターター ウィザードアロー4-80B,1980
4904810910404,BX-04 スターター ナイトシールド3-80N,1980
4904810910497,BX-05 ブースター ウィザードアロー4-80B,1400
4904810910480,BX-06 ブースター ナイトシールド3-80N,1400
4904810910589,BX-07 スタートダッシュセット,5720
4904810910572,BX-08 3on3デッキセット,3960
4904810905240,BX-09 ベイバトルパス,3300
4904810910596,BX-10 エクストリームスタジアム,2750
4904810910787,BX-11 ランチャーグリップ,700
4904810910602,BX-12 3on3デッキケース,990
4904810910503,BX-00 ブースター ドランザースパイラル3-80T,1600
4904810910565,BX-13 ブースター ナイトランス4-80HN,1400
4904810912965,BX-14 ランダムブースターVol.1,1400
4904810913030,BX-15 スターター レオンクロー5-60P,1980
4904810912972,BX-16 ランダムブースター ヴァイパーテイルセレクト,1400
4904810913047,BX-17 バトルエントリーセット,6050
4904810913054,BX-18 ストリングランチャー,990
4904810913061,BX-19 ブースター ライノホーン3-80S,1400
4904810913078,BX-20 ドランダガーデッキセット,3960
4904810913085,BX-21 ヘルズチェインデッキセット,3960
4904810913139,BX-22 スターター ドランソード3-60F エントリーパッケージ,1400
4904810913092,BX-23 スターター フェニックスウイング9-60GF,2420
4904810913108,BX-24 ランダムブースターVol.2,1400
4904810913320,BX-25 ギアケース,4000
4904810914464,BX-26 ブースター ユニコーンスティング5-60GP,1400
4904810913115,BX-27 ランダムブースター スフィンクスカウルセレクト,1400
4904810936121,BX-00 B4ストア限定 ブースター シャークエッジ5-60GF メタルコート：ブルー,1600
4904810914518,BX-28 ストリングランチャー ホワイトVer.,990
4904810914525,BX-29 カスタムグリップ ホワイトVer.,1100
4904810926702,BX-30 カスタムグリップ レッドVer.,1100
4904810914471,UX-01 スターター ドランバスター1-60A,1980
4904810914488,UX-02 スターター ヘルズハンマー3-70H,1980
4904810914495,UX-03 ブースター ウィザードロッド5-70DB,1400
4904810930341,BX-00 ブースター ドライガースラッシュ4-80P,1600
4904810914532,BX-31 ランダムブースターVol.3,1400
4904810914501,UX-04 バトルエントリーセットU,6050
4904810914549,UX-05 ランダムブースター シノビシャドウセレクト,1400
4904810914556,BX-33 ブースター ヴァイスタイガー3-60U,1400
4904810926719,BX-32 ワイドエクストリームスタジアム,4400
4904810914563,BX-34 スターター コバルトドラグーン2-60C,2321
4904810914570,BX-35 ランダムブースターVol.4,1400
4904810946830,BX-00 B4ストア限定 スターター ドランダガー2-80GP メタルコート：ブラック ジャイアンツVer.,2400
4904810914600,UX-06 ブースター レオンクレスト7-60GN,1400
4904810914594,UX-07 フェニックスラダーデッキセット,4100
4904810941576,BX-00 イベント限定 スターター コバルトドラグーン2-60C メタルコート:ブラック,2420
4904810930358,BX-00 ランダムブースター ライトニングエルドラゴ1-60F,1600
4904810914617,BX-36 ランダムブースター ホエールウェーブセレクト,1400
4904810939481,BX-37 ダブルエクストリームスタジアムセット,8200
4904810939498,UX-08 スターター シルバーウルフ3-80FB,2080
4904810939504,BX-38 ブースター クリムゾンガルーダ4-70TP,1400
4904810939535,UX-09 スターター サムライセイバー2-70L,3300
4904810939542,UX-10 カスタマイズセットU,5700
4904810945567,BX-00 ブースター ドラシエルシールド7-60D,1600
4904810939559,UX-11 スターター インパクトドレイク9-60LR,2420
4904810939566,UX-12 ランダムブースターVol.5,1400
4904810952312,UX-00 B4ストア限定 スターター ドランバスター1-60A メタルコート：ブルー FCバルセロナVer.,2500
4904810952329,UX-00 B4ストア限定 ベイキックオフセット FCバルセロナVer.,6501
4904810939573,UX-13 ブースター ゴーレムロック1-60UN,1400
4904810939511,BX-39 ランダムブースター シェルタードレイクセレクト,1400
4904810946823,BX-00 スターター ゼノエクスカリバー3-60GF,3000
4904810958765,BX-40 ワインダーランチャーL,880
4904810958482,BX-41 ラバーカスタムグリップ ガンメタVer.,1320
4904810958536,BX-42 ラバーカスタムグリップ ブルーVer.,1320
4904810958796,BX-43 ギアケース ホワイトVer.,4000
4904810939597,CX-01 スターター ドランブレイブS6-60V,2200
4904810939603,CX-02 スターター ウィザードアークR4-55LO,2200
4904810939610,CX-03 ブースター ペルセウスダークB6-80W,1600
4904810939634,CX-04 バトルエントリーセットC,6501
4904810982357,BX-00 B4ストア限定 ダブルスターター スター・ウォーズ マンダロリアン3-60F/モフ・ギデオン3-80N,4180
4904810982340,BX-00 B4ストア限定 ダブルスターター スター・ウォーズ ルーク・スカイウォーカー4-80B/ダース・ベイダー4-60P,4180
4904810980841,BX-00 B4ストア限定 ダブルスターター マーベル アイアンマン4-80B/サノス4-60P,4180
4904810980858,BX-00 B4ストア限定 ダブルスターター マーベル スパイダーマン3-60F/ヴェノム3-80N,4180
4904810939627,CX-05 ランダムブースターVol.6,1600
4904810958499,UX-14 スターター スコーピオスピア0-70Z,2200
4904810956969,CX-06 ランダムブースター フォックスブラッシュセレクト,1600
4904810939528,BX-44 ブースター トリケラプレスM-85BS,1500
4904810996552,BX-00 B4ストア限定 ダブルスターター ジュラシック・ワールド T-レックス/モササウルス,4180
4904810996569,BX-00 B4ストア限定 ダブルスターター ジュラシック・ワールド スピノサウルス/ケツァルコアトルス,4180
4904810957492,BX-00 ブースター ロックレオーネ6-80GN,1600
4904810956976,CX-07 スターター ペガサスブラストATr,2600
4904810956983,CX-08 ランダムブースターVol.7,1600
4904810930495,CX-00 イベント限定 スターター ペガサスブラストATr メタルコート:レッド,2700
4904810939580,BX-45 ブースター サムライカリバー6-70M,1500
4904810982432,UX-15 シャークスケイルデッキセット,4200
4904810995678,CX-09 スターター ソルエクリプスD5-70TK,2500
4904810997610,BX-46 バトルエントリーセット∞,7500
4904810097396,BX-47 ストリングランチャーL レッドVer.,990
4904810990154,UX-16 ランダムブースター クロックミラージュセレクト,1400
4904810097242,CX-10 ブースター ウルフハントF0-60DB,1700
4904810098775,CX-11 エンペラーマイトデッキセット,5000
4904810099468,BX-00 ブースター ドラグーンストーム4-60RA,1700
4904810997627,UX-17 スターター メテオドラグーン3-70J,2300
4904810097167,UX-18 ランダムブースターVol.8,1600
4904810096153,CX-12 ブースター フェニックスフレアZ9-80WW,1700
4904810096092,BX-48 ランダムブースターVol.9,1600
4904810080565,BX-00 B4ストア限定 ストリングランチャー B4ストア限定カラーVer.,1100
4904810097259,CX-13 スターター バハムートブリッツBK1-50I,2200
4904810097266,CX-14 スターター ナイトフォートレスGV8-70UN,2200
4904810097273,CX-15 ブースター ラグナレイジFE4-55Y,1600
4904810097280,CX-16 スタートダッシュセットC,5650
4904810997351,BX-00 スターター ストームスプリガン2-70M,2300
4904810096160,UX-19 スターター バレットグリフォンH,2600
4904810096146,CX-17 ランダムブースターVol.10,1600
4904810096122,BX-49 スターター ドランストライク4-50FF,2200
